Altium Designer Pick and Place Locations
C:\Users\giorg\Dropbox\Gibimaster-giacomin\2021\2721022100\Project Outputs for 2721022100 - Giorgio\PICK AND PLACE\Pick Place\Pick Place for 2721022100.txt

========================================================================================================================
File Design Information:

Date:       09/11/23
Time:       18:18
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment         Layer       Footprint                                         Center-X(mm) Center-Y(mm) Rotation Description                                                                                 
J9         "USB C"         TopLayer    CON_SMD_TYPEC_USB4105_GCT                         3.4275       21.0000      270      "MICRO USB TYPE C, SMT Horizontal"                                                          
R33        0R              BottomLayer RC0402_1                                          26.7500      15.2500      90       "RESISTORE, 0R, 0.1W, 1%, 0402, SMD"                                                        
J12A       2P              BottomLayer CON_SMD_2PIN_S2B-PH-SM4-TB(LF)(SN)_JST            60.1250      14.0000      270      "Connector Header, PH Series, 2 Position, Side Entry, 2.00mm, Solder, Surface Mount"        
LC1        TBD             TopLayer    RC0402_1                                          9.0500       14.1750      0        "R/L/C TBD, 1%, 0402, SMD"                                                                  
C12        47pF            TopLayer    RC0402_1                                          8.6000       12.8500      90       "CAP, CERAMICA, 47pF, 50V, C0G, 1%, 0402"                                                   
Z2         18V             BottomLayer ESD_PESD0402-140                                  12.2500      22.5000      180      "TVS Diodes - 9pF, 18V"                                                                     
Z4         14V             BottomLayer ESD_PESD0402-140                                  8.2500       22.2500      270      "TVS Diodes - 0.25pF, 12V, 3.4Ghz"                                                          
Z3         14V             BottomLayer ESD_PESD0402-140                                  8.2500       19.7500      90       "TVS Diodes - 0.25pF, 12V, 3.4Ghz"                                                          
U1         ZED-F9P         TopLayer    MODULO_GPS_ZEDF9P01B_UBLOX                        19.7500      11.5000      270      "u-blox F9 high precision GNSS module"                                                      
U2         NCV8705ML33TCG  TopLayer    SON_8PIN_0.65P_3.15W_PAD                          54.5000      14.0000      0        "IC, V REG, LDO 2.5-5.5 Vin,3.3V, DFNW8, 500mA"                                             
M1         "PCB MODULO BL" TopLayer    MODULO_HC06_STRIP                                 -25.4000     -25.4000     270      "Generic Antenna"                                                                           
J12        2P              BottomLayer CON_TH_2PIN_3.5P_691103110002_WE                  60.1000      14.0000      90       "MORSETTIERA, PCB, 3.5MM, 2 VIE, 16 AMPER"                                                  
J14        CON2P           BottomLayer CON_TH_2PIN_2.54P_825433-2__TE                    44.2500      16.2500      90       "HEADER, P2.54, H6.7MM, BIFASE"                                                             
J13        CON5P           BottomLayer CON_TH_5PIN_2.54P_61300515721_WE                  54.7700      4.3000       0        "MORSETTIERA, PCB, 2.5MM, 5 VIE, 12 AMPER"                                                  
U6         MCP73831        BottomLayer SOT23_5PIN_0.95P_1.75W                            47.0000      19.7500      90       "Miniature Single-Cell, Fully Integrated Li-Ion,  Li-Polymer Charge Management Controllers" 
R43        10K             BottomLayer RC0603_1                                          44.0000      22.5000      180      "RESISTORE, 10K, 0.1W, 1%, 0603, SMD"                                                       
R42        510R            TopLayer    RC0603_1                                          44.0000      26.5000      90       "RESISTORE, 510R, 0.1W, 1%, 0603, SMD"                                                      
R41        0R              BottomLayer RC0603_1                                          44.5000      19.5000      270      "RESISTORE, 0R, 0.1W, 1%, 0603, SMD"                                                        
D9         RED             TopLayer    LED_SMD_0603_RED                                  42.0000      26.5000      270      "LED, 0603, RED, 15MCD, 625NM"                                                              
B1         3V              BottomLayer BAT_SMD_MS621FE-FL11E                             50.7500      9.5000       270      "Recharge Battery/Tab RTC/SRAM Backup"                                                      
D2         Y               TopLayer    LED_SMD_0603_YELLOW                               34.0000      26.5000      270      "LED, 0603, YELLOW, 150MCD, 590NM"                                                          
D3         B               TopLayer    LED_SMD_0603_BLUE                                 26.0000      26.5000      270      "LED, 0603, BLUE, 180MCD, 470NM"                                                            
D4         G               TopLayer    LED_SMD_0603_GREEN                                30.0000      26.5000      270      "LED, 0603, GREEN, 15MCD, 675NM"                                                            
D6         G               TopLayer    LED_SMD_0603_GREEN                                20.0000      24.0000      90       "LED, 0603, GREEN, 15MCD, 675NM"                                                            
J1         DF13-10P-1.25H  TopLayer    CON_SMD_10PIN_DF13-10P-1.25V(21)_HIROSE           38.8165      12.0000      90       "CONNECTOR 10P SNG ROW PIN HDR R/A SMT"                                                     
J2         DF13-10P-1.25H  TopLayer    CON_SMD_10PIN_DF13-10P-1.25V(21)_HIROSE           32.5665      12.0000      90       "CONNECTOR 10P SNG ROW PIN HDR R/A SMT"                                                     
L1         "BLM 2A"        BottomLayer IND_SMD_BLM18(0603)_1                             41.0000      20.2500      90       "FERRITE, BEAD,  0603, 100OHM, 2A"                                                          
L2         "BLM 2A"        BottomLayer IND_SMD_BLM18(0603)_1                             12.2500      2.5000       90       "FERRITE, BEAD,  0603, 100OHM, 2A"                                                          
L3         "120nH 0.3A"    TopLayer    IND_SMD_0603                                      9.3000       11.5000      180      "INDUCTOR, RF, 120nH, 0.3A, 5%,1.3GHZ"                                                      
Q1         BCX17,215       BottomLayer SOT23_123                                         8.7500       2.5000       90       "TRANSISTOR, NPN 50V, -500mA, SOT-23"                                                       
Q2         BC857C-7-F      TopLayer    SOT23_123                                         8.7500       2.5000       90       "TRANSISTOR, NPN 50V, -200mA, SOT-23"                                                       
R23        1R              TopLayer    RC0805                                            8.7500       5.5000       0        "RESISTORE, 1R, 0.5W, 1%, 0805, SMD"                                                        
U4         SN74LVC2G14DCKT TopLayer    SC70_6PIN_0.65P_1.25W_TEXAS                       15.5000      24.5000      90       "Dual Schmitt Trigger Inverter, SC70-6"                                                     
Y2         UFL             TopLayer    CON_SMD_UFLRSMT10_HIROSE                          10.2625      25.5000      90       U.FL                                                                                        
R32        0R              BottomLayer RC0402_1                                          51.5000      19.2500      90       "RESISTORE, 0R, 0.1W, 1%, 0402, SMD"                                                        
